Stock_ID,Price,K_Value,D_Value,Foreign_Net_Buy_2026-02-24,Foreign_Net_Buy_2026-02-25,Foreign_Net_Buy_2026-02-26,Consecutive_Foreign_Buy,KD_Status,Signal_Proximity
6691,683.0,81.12,66.2,402202,149009,743843,3,Overbought,No
4542,161.0,88.92,88.47,14000,57000,-101570,0,Overbought,No
6683,915.0,89.15,87.58,1000,-69000,82268,1,Overbought,No
2360,1380.0,91.08,80.63,-697450,-614088,-1460451,0,Overbought,No
1560,524.0,84.92,73.49,34923,-452000,178395,1,Overbought,No
7769,4860.0,94.11,87.77,112731,28021,501583,3,Overbought,No
5434,348.5,82.38,71.67,365274,278678,313407,3,Overbought,No
6196,305.0,75.03,55.57,-600048,47116,1615129,2,Neutral,No
6139,585.0,58.93,40.84,-591171,241692,2223529,2,Neutral,No
2467,321.0,81.94,72.93,731828,63438,444020,3,Overbought,No
6788,353.0,70.63,53.23,-178690,-144985,100,1,Neutral,No
6187,547.0,92.39,81.78,3470891,2059659,2339100,3,Overbought,No
2404,1130.0,79.67,59.61,210438,737213,1072609,3,Neutral,No
8028,188.0,76.9,61.76,561424,1624925,3844429,3,Neutral,No
6667,270.0,74.3,56.59,8000,68000,773000,3,Neutral,No
3551,193.0,72.94,59.62,-205000,-16000,142000,1,Neutral,No
3010,129.5,78.98,69.33,539076,569281,339123,3,Neutral,No
3583,371.0,78.23,62.04,530914,168200,149425,3,Neutral,No
3402,139.5,76.77,58.85,34862,160600,665600,3,Neutral,No
6640,806.0,50.69,36.6,-48000,-35065,77931,1,Neutral,No
3374,193.5,80.7,64.83,427500,2141870,4320988,3,Overbought,No
6207,55.2,41.91,30.11,180000,97000,-10800,0,Neutral,No
2338,49.2,78.3,53.72,-26000,110990,1849990,2,Neutral,No
5443,91.8,54.7,39.19,62000,106000,-362775,0,Neutral,No
3219,68.9,70.27,61.51,8000,-8000,12000,1,Neutral,No
4764,135.5,72.47,52.61,365000,1772000,-1197000,0,Neutral,No
1717,69.0,78.02,55.86,-1452103,258283,8572358,2,Neutral,No
1711,27.2,77.18,74.75,3969650,-5950899,852000,1,Neutral,No
4768,465.0,63.82,47.29,260376,-112100,354500,1,Neutral,No
4722,217.0,87.77,77.2,2079999,2152631,482700,3,Overbought,No
1809,25.65,46.09,32.94,302000,-442000,-491096,0,Neutral,No
1727,47.7,77.09,60.76,883995,1419000,317692,3,Neutral,No
4755,148.0,86.21,75.3,400000,205000,20952,3,Overbought,No
1773,159.0,80.86,69.08,-32827,670000,944271,2,Overbought,No
1721,18.6,55.6,47.67,338000,-452000,189000,1,Neutral,No
