Stock_ID,Price,K_Value,D_Value,Foreign_Net_Buy_2026-02-24,Foreign_Net_Buy_2026-02-25,Foreign_Net_Buy_2026-02-26
6691,683.0,81.12,66.2,402202,149009,743843
4542,161.0,88.92,88.48,14000,57000,-101570
6683,915.0,89.15,87.58,1000,-69000,82268
2360,1380.0,91.08,80.63,-697450,-614088,-1460451
1560,524.0,84.92,73.49,34923,-452000,178395
7769,4860.0,94.11,87.77,112731,28021,501583
5434,348.5,82.38,71.67,365274,278678,313407
6196,305.0,75.03,55.57,-600048,47116,1615129
6139,585.0,58.93,40.84,-591171,241692,2223529
2467,321.0,81.94,72.93,731828,63438,444020
6788,353.0,70.63,53.22,-178690,-144985,100
6187,547.0,92.39,81.78,3470891,2059659,2339100
2404,1130.0,79.67,59.62,210438,737213,1072609
8028,188.0,76.9,61.75,561424,1624925,3844429
6667,270.0,74.3,56.59,8000,68000,773000
3551,193.0,72.94,59.63,-205000,-16000,142000
3010,129.5,78.98,69.34,539076,569281,339123
3583,371.0,78.22,62.04,530914,168200,149425
3402,139.5,76.77,58.85,34862,160600,665600
6640,806.0,50.69,36.61,-48000,-35065,77931
3374,193.5,80.7,64.83,427500,2141870,4320988
6207,55.2,41.91,30.11,180000,97000,-10800
2338,49.2,78.3,53.72,-26000,110990,1849990
5443,91.8,54.7,39.19,62000,106000,-362775
3219,68.9,70.27,61.51,8000,-8000,12000
4764,135.5,72.47,52.61,365000,1772000,-1197000
1717,69.0,78.02,55.86,-1452103,258283,8572358
1711,27.2,77.18,74.76,3969650,-5950899,852000
4768,465.0,63.82,47.28,260376,-112100,354500
4722,217.0,87.77,77.2,2079999,2152631,482700
1809,25.65,46.09,32.95,302000,-442000,-491096
1727,47.7,77.09,60.76,883995,1419000,317692
4755,148.0,86.22,75.31,400000,205000,20952
1773,159.0,80.86,69.08,-32827,670000,944271
1721,18.6,55.6,47.66,338000,-452000,189000
